RXCUI,TenThuoc
8761,propantheline
8782,propofol
8783,propolis
8787,propranolol
8792,propylhexedrine
8794,propylthiouracil
8814,epoprostenol
8825,protamine sulfate (USP)
8826,protamines
8834,protein C
8886,protriptyline
8896,pseudoephedrine
8928,psyllium
8948,purified protein derivative of tuberculin
8984,pyrantel
8987,pyrazinamide
8991,pyrethrins
9000,pyridostigmine
9009,pyrilamine
9010,pyrimethamine
9022,pyrogallol
9036,pyrrolidonecarboxylic acid
9060,quercetin
9068,quinidine
9071,quinine
9143,ranitidine
9260,reserpine
9344,ribavirin
9346,riboflavin
9384,rifampin
9386,rimantadine
9500,rutin
9504,S-adenosylmethionine
9509,saccharin
9511,Saccharomyces cerevisiae
9515,safflower oil
9518,salicylamide
9524,sulfasalazine
9525,salicylic acid
9549,samarium
9601,scopolamine
9639,selegiline
9640,selenite
9641,selenium
9644,selenomethionine
9671,serine
9771,silicon dioxide
9774,silicon
9789,silver nitrate
9793,silver sulfadiazine
9796,simethicone
9800,sincalide
9853,sodium
9863,sodium chloride
9873,sodium fluoride
9880,sodium hydroxide
9884,sodium iodide
9894,sodium nitrite
9913,sodium tetradecyl sulfate
9945,sorbitol
9947,sotalol
9949,soybean oil
9997,spironolactone
10014,squalene
10030,stannous fluoride
10046,starch
10109,streptomycin
10114,streptozocin
10122,strontium
10154,succinylcholine
10156,sucralfate
10159,sucrose
10167,sulbactam
10169,sulfacetamide
10171,sulfadiazine
10172,sulfadimethoxine
10180,sulfamethoxazole
10193,sulfathiazole
10223,sulfur
10231,sulfuric acid
10237,sulindac
10239,sulpiride
10323,talc
10324,tamoxifen
10328,tannic acid
10337,taurine
10355,temazepam
10368,terbutaline
10379,testosterone
10390,tetrabenazine
10391,tetracaine
10395,tetracycline
10402,dronabinol
10432,thalidomide
10438,theophylline
10454,thiamine
10472,thimerosal
10473,thiotepa
10485,thioguanine
10502,thioridazine
10510,thiothixene
10524,threonine
10528,thrombin
10553,thymol
10572,thyroid (USP)
10580,thyrotropin-releasing hormone
10582,levothyroxine
10600,timolol
10612,tinidazole
10627,tobramycin
10634,tolazoline
10636,tolmetin
10637,tolnaftate
10689,tramadol
10691,tranexamic acid
10734,tranylcypromine
10737,trazodone
10753,tretinoin
10756,triacetin
10759,triamcinolone
10763,triamterene
10767,triazolam
10772,trichlormethiazide
10795,triclosan
10798,trientine
10800,trifluoperazine
10803,trifluridine
10811,trihexyphenidyl
10814,liothyronine
10829,trimethoprim
10834,trimipramine
10847,tripelennamine
10849,triprolidine
10865,tromethamine
10869,tropicamide
10878,trypan blue
10890,trypsin
10898,tryptophan
10938,turpentine
10962,tyrosine
11002,urea
11017,uridine
11115,valine
11121,vanadium
11124,vancomycin
11149,vasopressin (USP)
11170,verapamil
11194,vidarabine
11196,viloxazine
11198,vinblastine
11202,vincristine
11246,vitamin A
11248,vitamin B12
11251,vitamin B complex
11253,vitamin D
11256,vitamin E
11258,vitamin K
11274,von Willebrand factor
11289,warfarin
11295,water
11327,white wax
11359,lutein
11377,xylitol
11413,zidovudine
11416,zinc
11423,zinc oxide
